crawl_time,area_id,district,filter_type,filter_name,page,url,status,new_count
2026-07-01T19:36:52,1,渝中,area,60-80㎡,10,https://m.daojiale.com/cq/ershoufangPage?pageNo=10&areaId=1&builtArea=60-80,ok,20
2026-07-01T19:36:53,1,渝中,area,60-80㎡,11,https://m.daojiale.com/cq/ershoufangPage?pageNo=11&areaId=1&builtArea=60-80,ok,19
2026-07-01T19:36:54,1,渝中,area,60-80㎡,12,https://m.daojiale.com/cq/ershoufangPage?pageNo=12&areaId=1&builtArea=60-80,ok,20
2026-07-01T19:36:55,1,渝中,area,60-80㎡,13,https://m.daojiale.com/cq/ershoufangPage?pageNo=13&areaId=1&builtArea=60-80,ok,19
2026-07-01T19:36:56,1,渝中,area,60-80㎡,14,https://m.daojiale.com/cq/ershoufangPage?pageNo=14&areaId=1&builtArea=60-80,ok,19
2026-07-01T19:36:57,1,渝中,area,60-80㎡,15,https://m.daojiale.com/cq/ershoufangPage?pageNo=15&areaId=1&builtArea=60-80,ok,18
2026-07-01T19:36:59,1,渝中,area,60-80㎡,16,https://m.daojiale.com/cq/ershoufangPage?pageNo=16&areaId=1&builtArea=60-80,ok,18
2026-07-01T19:37:00,1,渝中,area,60-80㎡,17,https://m.daojiale.com/cq/ershoufangPage?pageNo=17&areaId=1&builtArea=60-80,ok,17
2026-07-01T19:37:01,1,渝中,area,60-80㎡,18,https://m.daojiale.com/cq/ershoufangPage?pageNo=18&areaId=1&builtArea=60-80,ok,20
2026-07-01T19:37:02,1,渝中,area,60-80㎡,19,https://m.daojiale.com/cq/ershoufangPage?pageNo=19&areaId=1&builtArea=60-80,ok,15
2026-07-01T19:37:03,1,渝中,area,80-110㎡,1,https://m.daojiale.com/cq/ershoufangPage?pageNo=1&areaId=1&builtArea=80-110,ok,0
2026-07-01T19:37:04,1,渝中,area,80-110㎡,2,https://m.daojiale.com/cq/ershoufangPage?pageNo=2&areaId=1&builtArea=80-110,ok,0
